Nationalstrasse;Abschnitt;fid Zahl;fid Text;fid QGIS;Name Bushaltestelle;Landeskoordinate E;Landeskoordinate N;Typ der Bushaltestelle;Bemerkung zum Typ der Bushaltestelle;Bushaltestelle mit Einbuchtung / auf Fahrbahn;"Ausrüstung
der Haltestelle";Bemerkungen;Lmin TOT;Lmin ZAP;Bmin ZAP;hmin ZAP;Lmin ZAR;Bmin ZAR;hmin ZAR;Lmin ZDE;Bmin ZDE;hmin ZDE;pmax Rampen;pmax Querrichtung;Hindernisse;Bemerkung zum Hindernis;Markierung Taktilo-Visuel;Markierung Haltekante;BehiGe-Konform;Anpassung an BehiGe verhältnismässig;Filiale
N10;12;70;70;70;Plan-les-Ouates, Au Contour;2496774.62;1113209.65;Sonst;;auf Fahrbahn;Haltekante;Randstein und Taktilo könnte gemacht werden;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;ja;F1
N10;12;80;80;80;Plan-les-Ouates, Au Contour;2496778.23;1113191.94;Sonst;;auf Fahrbahn;Haltekante;Randstein und Taktilo könnte gemacht werden;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;ja;Zugang über Veloweg;nein;keine;nein;ja;F1
N10;13;26;26;26;Carouge GE, Stade de Genève;2498844.2;1114999.9;;beim Stadion;auf Fahrbahn;Haltekante mit Unterstand;"Kein VDS, StreetView nur von weitem
Randstein und Taktilo könnte gemacht werden";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥1.4m;≥16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;nein;;nein;keine;nein;ja;F1
N10;13;77;77;77;Carouge GE, Stade de Genève;2498844;1114986.2;;beim Stadion;auf Fahrbahn;Haltekante mit Unterstand;"Kein VDS, StreetView nur von weitem
Randstein und Taktilo könnte gemacht werden";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥1.4m;≥16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;nein;;nein;keine;nein;ja;F1
N10;13;24;24;24;Carouge GE, Stade de Genève;2498911.2;1115092.2;;beim Stadion;auf Fahrbahn;Haltekante mit Unterstand;"Kein VDS
es gibt um das Stadion mehrere Haltestellen mir derselben Bezeichnung
Randstein und Taktilo könnte gemacht werden";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥2.0m;≥16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;nein;;nein;keine;nein;ja;F1
N10;13;25;25;25;Carouge GE, Stade de Genève;2498872.8;1115135.3;;beim Stadion;auf Fahrbahn;Haltekante mit Unterstand;"Kein VDS
es gibt um das Stadion mehrere Haltestellen mir derselben Bezeichnung
Randstein und Taktilo könnte gemacht werden";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥2.0m;≥16cm;≥4.2m;≥1.2m;≥16cm;<6%;<2%;nein;;nein;keine;nein;ja;F1
N10;12;64;64;64;Grand-Saconnex, Tunnel Routier;2498492;1122153;;beim Flughafen;auf Fahrbahn;Haltekante;"Kein VDS
Randstein und Taktilo könnte gemacht werden";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥2.0m;≥16cm;≥4.2m;≥1.2m;≥16cm;>6%;>2%;ja;"einseitig zugänglich,
evtl. noch nicht fertig gebaut";nein;keine;nein;ja;F1
N10;12;69;69;69;Grand-Saconnex, Tunnel Routier;2498500.9;1122164.8;;beim Flughafen;auf Fahrbahn;Haltekante;"Kein VDS
Randstein und Taktilo könnte gemacht werden";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥2.0m;≥16cm;≥4.2m;≥1.2m;≥16cm;>6%;>2%;ja;"einseitig zugänglich,
evtl. noch nicht fertig gebaut";nein;keine;nein;ja;F1
N10;12;81;81;81;Grand-Saconnex, Tunnel Routier;2498555.5;1122203.6;;beim Flughafen;auf Fahrbahn;Haltekante;"es gibt mehrere Haltestellen mit demselben Namen beim Flughafen
Haltestelle evtl. Jetzt fertig gebaut und mit Taktilo versehen";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥2.0m;≥22cm;≥4.2m;≥1.2m;≥22cm;>6%;>2%;ja;"einseitig zugänglich,
evtl. noch nicht fertig gebaut";nein;keine;nein;ja;F1
N10;12;84;84;84;Grand-Saconnex, Tunnel Routier;2498562.7;1122239.3;;beim Flughafen;auf Fahrbahn;Haltekante;"es gibt mehrere Haltestellen mit demselben Namen beim Flughafen
Haltestelle evtl. Jetzt fertig gebaut und mit Taktilo versehen";≥18m;≥8.4m;≥1.2m;≥16cm;≥5.4m;≥2.0m;≥22cm;≥4.2m;≥1.2m;≥22cm;>6%;>2%;ja;"einseitig zugänglich,
evtl. noch nicht fertig gebaut";nein;keine;nein;ja;F1
N01;2;54;54;54;Bellevue GE, Rilliet;2500208.1;1123021.8;Sonst;;auf Fahrbahn;Haltekante;Randstein und Taktilo könnte gemacht werden;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;ja;F1
N01;2;1;1;1;Bellevue GE, Rilliet;2500223;1122998.8;Sonst;;auf Fahrbahn;Haltekante;Haltestelle hat keine Tafel und keine Markierungen.;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;nein;;nein;keine;nein;ja;F1
N01;2;42;42;42;Les Tuileries, gare;2500353.62;1122921.25;Sonst;;auf Fahrbahn;Haltekante;Randstein und Taktilo könnte gemacht werden;≥12m;≥2.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;>6%;<2%;nein;;nein;keine;nein;ja;F1
N01;2;66;66;66;Les Tuileries, gare;2500379.6;1122925.88;Sonst;;auf Fahrbahn;Haltekante mit Unterstand;Randstein und Taktilo könnte gemacht werden;≥18m;≥8.4m;≥1.2m;<16cm;≥5.4m;≥2.0m;<16cm;≥4.2m;≥1.2m;<16cm;>6%;<2%;nein;;nein;keine;nein;ja;F1
N01;2;71;71;71;Chambésy, Plage du Vengeron;2500772;1122423;Sonst;;auf Fahrbahn;Haltekante;Randstein und Taktilo könnte gemacht werden;<12m;<2.4m;≥1.2m;<16cm;≥5.4m;≥1.4m;<16cm;≥4.2m;≥1.2m;<16cm;<6%;<2%;ja;einseitig zugänglich;nein;keine;nein;ja;F1
